"Latin.name","Species","Family","Life.Form","USDA.Code","Rep","Exp","TRT","Code","YearCollected","Lat","Long","SoilMoisture","VegHeight","OHeight","CC1","CC2","CC3","CCAvg","CC.Relative","Stomatal.Conductance","WetWeight","DryWeight","LeafArea","LDMC","LWC","SLA","LMA","D15N","D13C","Percent_N","Percent_C","CN_ratio"
"Artemisia scopulorum","ARTSCO","Asteraceae","Forb","ARSC",4,"SAD","MOIST","ARTSCOSADMST4","2017",40.05541667,-105.59005,NaN,6.5,6.5,11.6,9.9,13.6,11.7,0.415147696,NaN,0.14444,0.02926,3.564,202.5754639,797.4245361,121.8045113,0.0082,-2.5033,-27.7056,3.4629,45.0028,12.9955
"Artemisia scopulorum","ARTSCO","Asteraceae","Forb","ARSC",4,"SAD","SNOWBED","ARTSCOSADSB4","2017",NaN,NaN,NaN,7.1,7.1,27.8,13.3,11.4,17.5,0.620947409,NaN,0.05973,0.01272,1.859,212.9583124,787.0416876,146.1477987,0.0068,-2.1304,-28.7621,2.7726,45.5537,16.4297
"Artemisia scopulorum","ARTSCO","Asteraceae","Forb","ARSC",4,"SAD","WET","ARTSCOSADWET4","2017",40.0538,-105.5903833,"21.8",12.5,14,12,21.1,19.4,17.5,0.620947409,NaN,0.0589,0.01074,2.154,182.3429542,817.6570458,200.5586592,0.005,-3.1589,-29.7806,4.1615,46.9614,11.2848
"Artemisia scopulorum","ARTSCO","Asteraceae","Forb","ARSC",5,"ITEX","XXW","ARTSCOITEXXXW5","2017",40.06036667,-105.5899333,"71.1",5,5,18.2,4.9,46.5,23.2,0.82319885,NaN,0.09618,0.01698,3.236,176.54398,823.45602,190.5771496,0.0052,0.9047,-29.8798,3.819,47.1927,12.3575
"Artemisia scopulorum","ARTSCO","Asteraceae","Forb","ARSC",5,"ITEX","XXX","ARTSCOITEXXXX5","2017",40.0599,-105.5886833,"36.5",12.5,12.5,7.9,2.3,33.2,14.46666667,0.513316525,NaN,0.1171,0.02265,3.707,193.4244236,806.5755764,163.6644592,0.0061,-0.2542,-29.4839,3.3431,45.978,13.753
"Artemisia scopulorum","ARTSCO","Asteraceae","Forb","ARSC",5,"SAD","DRY","ARTSCOSADDRY5","2017",40.05505,-105.5885,NaN,12.5,14.1,NaN,NaN,NaN,NaN,NaN,NaN,0.07374,0.0113,1.695,153.2411174,846.7588826,150,0.0067,-1.7654,-28.537,3.4288,46.3648,13.5222
"Artemisia scopulorum","ARTSCO","Asteraceae","Forb","ARSC",5,"SAD","FF","ARTSCOSADFF5","2017",40.06525,-105.5998333,"6",2.5,2.5,46.3,40.2,41.6,42.7,1.515111677,NaN,0.03313,0.00809,1.001,244.1895563,755.8104437,123.7330037,0.0081,-1.9869,-28.9534,2.8112,45.9575,16.3478
"Artemisia scopulorum","ARTSCO","Asteraceae","Forb","ARSC",5,"SAD","MOIST","ARTSCOSADMST5","2017",40.05545,-105.59,NaN,12,13.5,29.2,12.4,36.6,26.06666667,0.92491595,NaN,0.03737,0.00881,1.066,235.7506021,764.2493979,120.9988649,0.0083,0.4083,-28.0624,3.7734,46.2194,12.2487
"Artemisia scopulorum","ARTSCO","Asteraceae","Forb","ARSC",5,"SAD","SNOWBED","ARTSCOSADSB5","2017",NaN,NaN,NaN,7.4,7.4,3.4,45.9,12.2,20.5,0.727395536,NaN,0.08139,0.02229,2.309,273.8665684,726.1334316,103.5890534,0.0097,-0.9795,-28.6445,2.8418,45.9173,16.1576
"Artemisia scopulorum","ARTSCO","Asteraceae","Forb","ARSC",5,"SAD","WET","ARTSCOSADWET5","2017",40.0538,-105.5903833,"24.7",9.3,9.3,23.1,56.2,53.6,44.3,1.571884012,NaN,0.1146,0.02534,3.529,221.1169284,778.8830716,139.2659826,0.0072,-2.6985,-28.167,3.108,46.9809,15.1162
"Artemisia scopulorum","ARTSCO","Asteraceae","Forb","ARSC",6,"ITEX","XXW","ARTSCOITEXXXW6","2017",40.0603,-105.58995,"76.8",11,11,5.5,4.7,5.1,5.1,0.180961816,NaN,0.21135,0.0258,3.187,122.0723918,877.9276082,123.5271318,0.0081,-0.0413,-28.8979,4.2356,46.9506,11.0848
"Artemisia scopulorum","ARTSCO","Asteraceae","Forb","ARSC",6,"SAD","DRY","ARTSCOSADDRY6","2017",40.0551,-105.5884833,NaN,4,14.1,27.5,15.6,19.9,21,0.74513689,NaN,0.08118,0.01512,1.958,186.2527716,813.7472284,129.4973545,0.0077,-1.7594,-26.3492,2.9949,45.8347,15.3042
"Artemisia scopulorum","ARTSCO","Asteraceae","Forb","ARSC",6,"SAD","FF","ARTSCOSADFF6","2017",40.06525,-105.5998333,"4.1",3.5,3.5,4.5,16.1,15,11.86666667,0.421061481,NaN,0.03005,0.00625,0.852,207.9866889,792.0133111,136.32,0.0073,-2.1467,-28.4499,2.9275,44.9298,15.3475
"Artemisia scopulorum","ARTSCO","Asteraceae","Forb","ARSC",6,"SAD","MOIST","ARTSCOSADMST6","2017",40.05546667,-105.59,NaN,11.2,11.5,8.1,18.4,56.1,27.53333333,0.976957256,NaN,0.04412,0.00935,1.293,211.9220308,788.0779692,138.2887701,0.0072,-1.1068,-28.5369,4.1173,45.7617,11.1146
"Artemisia scopulorum","ARTSCO","Asteraceae","Forb","ARSC",6,"SAD","SNOWBED","ARTSCOSADSB6","2017",NaN,NaN,NaN,8.2,8.2,18.3,18.3,19.4,18.66666667,0.662343903,NaN,0.09778,0.02192,2.373,224.1767233,775.8232767,108.2572993,0.0092,-0.0626,-29.5483,3.1349,46.1851,14.7327
"Artemisia scopulorum","ARTSCO","Asteraceae","Forb","ARSC",6,"SAD","WET","ARTSCOSADWET6","2017",40.0538,-105.5903833,"26.7",9.5,13.5,26.9,18.2,19,21.36666667,0.758147217,NaN,0.03939,0.00743,1.419,188.626555,811.373445,190.9825034,0.0052,-1.9471,-29.9578,4.2813,47.1049,11.0025
"Artemisia scopulorum","ARTSCO","Asteraceae","Forb","ARSC",7,"ITEX","XXW","ARTSCOITEXXXW7","2017",40.0603,-105.58995,"71.1",5,5,6.8,10.5,31.3,16.2,0.574819887,NaN,0.1395,0.02025,3.697,145.1612903,854.8387097,182.5679012,0.0055,-0.4796,-28.6813,3.7321,43.3675,11.6201
